titre,organisme,pays,deadline,niveau,montant,statut,url,commentaire
Bourse Intelligence artificielle,Orange Digital Center,tunisie,2026-10-02,Tous niveaux,,A_FAIRE,https://exemple-formation.test/opportunite/4392,
Formation Cybersécurité,Orange Digital Center, TUNISIE ,13/09/2026,Tous niveaux,500 MAD,en_cours,https://exemple-formation.test/opportunite/7456,
Subvention Climat,Université Paris Cité,Allemagne,24/09/2026,Doctorat,"3000,00 USD",en cours,https://exemple-formation.test/opportunite/4833,
Subvention Data science,Mozilla Foundation, TUNISIE ,27/11/2026,Tous niveaux,12 000 EUR,ENVOYEE,https://exemple-formation.test/opportunite/7225,
Fellowship Éducation numérique,Union Africaine, France,29-09-2026,Post-doc,25 000 EUR,A_FAIRE,https://exemple-formation.test/opportunite/2814,
  Concours Cybersécurité ,Université Paris Cité,Côte d'Ivoire,26-07-2026,Licence,12000 €,a_faire,https://exemple-formation.test/opportunite/2153,
Formation Éducation numérique,Campus France, TUNISIE ,15/01/2027,Master,MAD1200,A_FAIRE,https://exemple-formation.test/opportunite/1164,
Programme Biotechnologies,  GIZ , TUNISIE ,2026-11-04,Post-doc,-,A_FAIRE,https://exemple-formation.test/opportunite/7970,
bourse cybersécurité,African Development Bank, France,23-07-2026,Licence,non précisé,a faire,https://exemple-formation.test/opportunite/4857,
Appel à candidatures Biotechnologies,Agence Française de Développement, France,24/07/2026,Licence,$1500,archivee,https://exemple-formation.test/opportunite/8435,
Stage Climat,AFRICAN DEVELOPMENT BANK,Cameroun,28/12/2026,Post-doc,$5000,en_cours,https://exemple-formation.test/opportunite/9980,
  Subvention Entrepreneuriat social ,MOZILLA FOUNDATION,Canada,2026-09-13,Master,non précisé,,https://exemple-formation.test/opportunite/1048,
FORMATION ROBOTIQUE,mozilla foundation,Rwanda,18/10/2026,Licence,"1200,00 USD",archivee,https://exemple-formation.test/opportunite/9452,
Fellowship Économie circulaire,Fondation Mastercard, Cameroun ,21/12/2026,Doctorat,-,archivee,https://exemple-formation.test/opportunite/4772,
Concours Économie circulaire,Orange Digital Center,Sénégal,03/02/2027,Post-doc,1 500 USD,archivée,https://exemple-formation.test/opportunite/7663,
Stage Agritech,Banque Mondiale, Sénégal ,30-01-2027,Doctorat,12 000 MAD,envoyee,https://exemple-formation.test/opportunite/4974,
Résidence Robotique,Fondation Mastercard,Tunisie,07/12/2026,Tous niveaux,1 200 EUR,envoyée,https://exemple-formation.test/opportunite/6132,
Subvention Énergies renouvelables,Banque Islamique de Développement,benin,,Post-doc,-,ENVOYEE,https://exemple-formation.test/opportunite/7198,
Appel à candidatures Mobilité urbaine,Mozilla Foundation, Sénégal ,26/11/2026,Tous niveaux,12000 USD,envoyée,https://exemple-formation.test/opportunite/4222,
  Bourse Agritech ,GIZ,cote d'ivoire,2027-01-12,Post-doc,1500 €,A_FAIRE,https://exemple-formation.test/opportunite/1461,
Résidence Data science,Institut Pasteur,Maroc,31-10-2026,Tous niveaux,1200 USD,en_cours,https://exemple-formation.test/opportunite/1625,
Fellowship Intelligence artificielle,PNUD,Rwanda,2026-09-21,Licence,MAD1500,,https://exemple-formation.test/opportunite/2693,
Subvention Data science,CNRS,senegal,2026-10-16,Tous niveaux,USD1500,a_faire,https://exemple-formation.test/opportunite/9378,
Subvention Fintech,CNRS,Tunisie,30/07/2026,Post-doc,"3000,00 €",,https://exemple-formation.test/opportunite/2555,
Concours Entrepreneuriat social,Agence Française de Développement,BENIN,15-07-2026,Tous niveaux,N/A,a faire,https://exemple-formation.test/opportunite/9049,
Fellowship Biotechnologies,  Union Africaine ,Sénégal,2026-12-12,Master,€5000,en_cours,https://exemple-formation.test/opportunite/3466,
Subvention Data science,Mozilla Foundation, TUNISIE ,27/11/2026,Tous niveaux,12 000 EUR,ENVOYEE,https://exemple-formation.test/opportunite/7225,
Formation Biotechnologies,UNESCO,canada,2026-08-03,Licence,1 500 €,archivée,https://exemple-formation.test/opportunite/5131,
Subvention Énergies renouvelables,Institut Pasteur,Maroc,N/A,Post-doc,1500 €,en_cours,https://exemple-formation.test/opportunite/1534,
BOURSE CLIMAT,African Development Bank,Bénin,2026-12-06,Master,non précisé,archivée,https://exemple-formation.test/opportunite/7882,
PROGRAMME BIOTECHNOLOGIES,Mozilla Foundation,FRANCE,18-07-2026,Tous niveaux,N/A,à faire,https://exemple-formation.test/opportunite/6234,
Formation Climat,Union Africaine, Cameroun ,09/11/2026,Licence,3 000 MAD,a_faire,https://exemple-formation.test/opportunite/4043,
  Stage Mobilité urbaine ,African Development Bank,Tunisie,2027-02-04,Doctorat,1 200 MAD,envoyée,https://exemple-formation.test/opportunite/5786,
Hackathon Intelligence artificielle,Union Africaine,allemagne,15-07-2026,Post-doc,"1500,00 MAD",,https://exemple-formation.test/opportunite/2045,
Hackathon Intelligence artificielle,Banque Islamique de Développement,Sénégal,2026-11-23,Master,25 000 EUR,envoyee,https://exemple-formation.test/opportunite/4973,
Résidence Data science,BANQUE ISLAMIQUE DE DÉVELOPPEMENT, France,12/09/2026,Doctorat,3 000 $,en_cours,https://exemple-formation.test/opportunite/7272,
Hackathon Éducation numérique,  UNESCO ,CANADA ,02-11-2026,Licence,N/A,à faire,https://exemple-formation.test/opportunite/1517,
Résidence Génie logiciel,Union Africaine,senegal,2026-10-24,Tous niveaux,1 200 MAD,a_faire,https://exemple-formation.test/opportunite/9058,
Subvention Éducation numérique,Campus France,Rwanda,2026-10-03,Tous niveaux,"1200,00 €",A_FAIRE,https://exemple-formation.test/opportunite/2140,
Concours Mobilité urbaine,agence française de développement,canada,11-10-2026,Master,N/A,à faire,https://exemple-formation.test/opportunite/7553,
Bourse Fintech,African Development Bank,BENIN,04/10/2026,Master,MAD1500,A_FAIRE,https://exemple-formation.test/opportunite/8319,
Appel à candidatures Cybersécurité,MOZILLA FOUNDATION,Bénin,2026-09-09,Post-doc,non précisé,EN COURS,https://exemple-formation.test/opportunite/7422,
Hackathon Fintech,Institut Pasteur,france,22-01-2027,Master,1 500 USD,a_faire,https://exemple-formation.test/opportunite/9002,
SUBVENTION GÉNIE LOGICIEL,GIZ,tunisie,07-12-2026,Licence,"500,00 MAD",a faire,https://exemple-formation.test/opportunite/6542,
Hackathon Énergies renouvelables,  Agence Française de Développement ,France,26-01-2027,Master,1 200 $,ENVOYEE,https://exemple-formation.test/opportunite/2047,
Subvention Biotechnologies,Mozilla Foundation,cameroun,2027-01-31,Tous niveaux,500 $,à faire,https://exemple-formation.test/opportunite/1800,
  Stage Génie logiciel ,Erasmus Mundus,Tunisie,03-01-2027,Tous niveaux,8 000 USD,archivée,https://exemple-formation.test/opportunite/5589,
  Formation Éducation numérique ,African Development Bank,RWANDA,2027-01-31,Tous niveaux,€12000,envoyee,https://exemple-formation.test/opportunite/9863,
Concours Fintech,Union Africaine,tunisie,03/01/2027,Tous niveaux,3 000 $,A_FAIRE,https://exemple-formation.test/opportunite/3656,
  Hackathon Data science ,  Banque Islamique de Développement ,allemagne,2027-01-10,Post-doc,-,EN COURS,https://exemple-formation.test/opportunite/9735,
Concours Biotechnologies,OCP Group,Bénin,04/08/2026,Post-doc,"1200,00 EUR",,https://exemple-formation.test/opportunite/8360,
Subvention Cybersécurité,banque mondiale,Allemagne,2027-01-21,Post-doc,8 000 €,archivée,https://exemple-formation.test/opportunite/6929,
Fellowship Agritech,Fondation Mastercard,Maroc,10/09/2026,Licence,"12000,00 EUR",A_FAIRE,https://exemple-formation.test/opportunite/8059,
Fellowship Robotique,giz,Canada,18/09/2026,Tous niveaux,"5000,00 USD",envoyée,https://exemple-formation.test/opportunite/9559,
Subvention Génie logiciel,African Development Bank, Sénégal ,03/10/2026,Master,5 000 MAD,a faire,https://exemple-formation.test/opportunite/8489,
Hackathon Agritech,Banque Islamique de Développement,  maroc,17/12/2026,Doctorat,3 000 $,envoyee,https://exemple-formation.test/opportunite/3556,
Concours Mobilité urbaine,UNESCO,COTE D IVOIRE,13/10/2026,Master,1500 USD,EN COURS,https://exemple-formation.test/opportunite/9572,
Résidence Fintech,Commission Européenne, Cameroun ,09/11/2026,Tous niveaux,non précisé,EN COURS,https://exemple-formation.test/opportunite/9527,
  Résidence Climat ,Erasmus Mundus,benin,03-09-2026,Doctorat,12 000 $,ENVOYEE,https://exemple-formation.test/opportunite/9519,
Appel à candidatures Génie logiciel,  Orange Digital Center ,allemagne,2026-07-27,Post-doc,1 200 MAD,ENVOYEE,https://exemple-formation.test/opportunite/6918,
  Hackathon Data science ,  Banque Islamique de Développement ,allemagne,2027-01-10,Post-doc,-,EN COURS,https://exemple-formation.test/opportunite/9735,
Hackathon Santé publique,Banque Mondiale,  maroc,12/11/2026,Post-doc,3 000 MAD,en cours,https://exemple-formation.test/opportunite/1566,
Concours Économie circulaire,  Mozilla Foundation ,cameroun,12-07-2026,Doctorat,1 500 MAD,en_cours,https://exemple-formation.test/opportunite/6294,
Formation Mobilité urbaine,UNESCO,tunisie,04/11/2026,Tous niveaux,non précisé,A_FAIRE,https://exemple-formation.test/opportunite/9513,
Fellowship Santé publique,  Fondation Mastercard , Sénégal ,2026-09-16,Master,"5000,00 €",en cours,https://exemple-formation.test/opportunite/4140,
Bourse Économie circulaire,Banque Mondiale,CANADA ,03/11/2026,Tous niveaux,USD1500,envoyee,https://exemple-formation.test/opportunite/8612,
Fellowship Robotique,  CNRS ,Allemagne,2026-09-09,Master,$25000,envoyée,https://exemple-formation.test/opportunite/1267,
Concours Éducation numérique,CNRS,RWANDA,18-11-2026,Tous niveaux,"8000,00 MAD",envoyée,https://exemple-formation.test/opportunite/4613,
HACKATHON DATA SCIENCE,GIZ,allemagne,18/09/2026,Doctorat,"500,00 MAD",A_FAIRE,https://exemple-formation.test/opportunite/9024,
Programme Cybersécurité,UNESCO,Sénégal,20/08/2026,Doctorat,-,envoyee,https://exemple-formation.test/opportunite/7811,
Programme Éducation numérique,Université Paris Cité, Allemagne,01/02/2027,Licence,1 500 MAD,à faire,https://exemple-formation.test/opportunite/1442,
Résidence Data science,Institut Pasteur,Maroc,31-10-2026,Tous niveaux,1 200 MAD,envoyée,https://exemple-formation.test/opportunite/1625,
  Appel à candidatures Santé publique ,Banque Islamique de Développement,Tunisie,20/07/2026,Doctorat,MAD500,envoyee,https://exemple-formation.test/opportunite/9055,
Résidence Cybersécurité,Mozilla Foundation,RWANDA,21-07-2026,Licence,-,EN COURS,https://exemple-formation.test/opportunite/9970,
Programme Biotechnologies,Agence Française de Développement,FRANCE,22/08/2026,Doctorat,"500,00 EUR",archivee,https://exemple-formation.test/opportunite/8632,
Subvention Robotique,Commission Européenne,COTE D IVOIRE,23/07/2026,Licence,EUR25000,EN COURS,https://exemple-formation.test/opportunite/5316,
Formation Énergies renouvelables,Orange Digital Center,Côte d'Ivoire,2026-08-14,Master,"12000,00 $",EN COURS,https://exemple-formation.test/opportunite/9174,
SUBVENTION SANTÉ PUBLIQUE,Erasmus Mundus,Allemagne,2026-08-08,Tous niveaux,MAD5000,en_cours,https://exemple-formation.test/opportunite/6733,
Fellowship Économie circulaire,Banque Mondiale,Rwanda,12-09-2026,Doctorat,N/A,à faire,https://exemple-formation.test/opportunite/5117,
Programme Agritech,Mozilla Foundation, Sénégal ,26-08-2026,Post-doc,"500,00 MAD",EN COURS,https://exemple-formation.test/opportunite/5995,
Fellowship Cybersécurité,Campus France,cameroun,08/08/2026,Master,non précisé,ENVOYEE,https://exemple-formation.test/opportunite/7220,
Subvention Biotechnologies,Institut Pasteur, Allemagne,01-10-2026,Post-doc,non précisé,envoyee,https://exemple-formation.test/opportunite/4254,
SUBVENTION MOBILITÉ URBAINE,Mozilla Foundation,cote d'ivoire,07-01-2027,Master,N/A,ENVOYEE,https://exemple-formation.test/opportunite/6531,
Formation Santé publique,Union Africaine,maroc,03-08-2026,Doctorat,5000 $,a_faire,https://exemple-formation.test/opportunite/5550,
résidence génie logiciel,commission européenne,Côte d'Ivoire,24-01-2027,Tous niveaux,5 000 EUR,a_faire,https://exemple-formation.test/opportunite/5535,
Appel à candidatures Intelligence artificielle,Orange Digital Center,rwanda,2027-01-11,Licence,N/A,envoyee,https://exemple-formation.test/opportunite/8021,
Bourse Mobilité urbaine,Banque Islamique de Développement,maroc,02-08-2026,Licence,5 000 MAD,EN COURS,https://exemple-formation.test/opportunite/9060,
  Concours Santé publique ,Commission Européenne,allemagne,2026-08-06,Licence,€8000,archivee,https://exemple-formation.test/opportunite/2356,
Stage Cybersécurité,Fondation Mastercard, Allemagne,13/07/2026,Licence,MAD8000,A_FAIRE,https://exemple-formation.test/opportunite/9152,
Appel à candidatures Santé publique,Orange Digital Center,Bénin,08/08/2026,Tous niveaux,EUR5000,en_cours,https://exemple-formation.test/opportunite/4364,
Programme Data science,ERASMUS MUNDUS, TUNISIE ,06/11/2026,Master,"1200,00 USD",en cours,https://exemple-formation.test/opportunite/9930,
Résidence Génie logiciel,Institut Pasteur,allemagne,2026-12-30,Tous niveaux,"500,00 EUR",ENVOYEE,https://exemple-formation.test/opportunite/4605,
Formation Énergies renouvelables,Orange Digital Center,Côte d'Ivoire,2026-08-14,Master,1 200 €,a faire,https://exemple-formation.test/opportunite/9174,
hackathon robotique,Erasmus Mundus,Tunisie,,Licence,1200 EUR,a_faire,https://exemple-formation.test/opportunite/7213,
Hackathon Entrepreneuriat social,  African Development Bank ,Tunisie,2026-12-16,Master,12000 $,a faire,https://exemple-formation.test/opportunite/3707,
Subvention Climat,Banque Islamique de Développement,Canada,15/08/2026,Licence,1 500 USD,en_cours,https://exemple-formation.test/opportunite/1614,
Hackathon Cybersécurité,Agence Française de Développement,CANADA ,,Doctorat,N/A,envoyee,https://exemple-formation.test/opportunite/4367,
Stage Génie logiciel,CNRS,CANADA ,12/01/2027,Doctorat,USD12000,ENVOYEE,https://exemple-formation.test/opportunite/7183,
Stage Santé publique,Banque Mondiale, Allemagne,27/10/2026,Master,€8000,archivée,https://exemple-formation.test/opportunite/1783,
BOURSE INTELLIGENCE ARTIFICIELLE,GIZ,Canada,2026-08-06,Master,5 000 EUR,a faire,https://exemple-formation.test/opportunite/6198,
Bourse Climat,CAMPUS FRANCE,tunisie,2026-09-27,Doctorat,N/A,à faire,https://exemple-formation.test/opportunite/1154,
Bourse Génie logiciel,  African Development Bank ,Canada,24/07/2026,Post-doc,EUR8000,en_cours,https://exemple-formation.test/opportunite/6630,
Hackathon Éducation numérique,Commission Européenne,senegal,14/08/2026,Master,25000 $,en_cours,https://exemple-formation.test/opportunite/4619,
Stage Génie logiciel,GIZ,allemagne,22/08/2026,Post-doc,5000 USD,à faire,https://exemple-formation.test/opportunite/3346,
Appel à candidatures Agritech,Banque Islamique de Développement,france,24/09/2026,Doctorat,8 000 USD,,https://exemple-formation.test/opportunite/5787,
Bourse Santé publique,GIZ,Tunisie,,Post-doc,EUR1200,en_cours,https://exemple-formation.test/opportunite/2148,
Hackathon Énergies renouvelables,GIZ,benin,,Master,8 000 USD,archivee,https://exemple-formation.test/opportunite/2006,
Hackathon Robotique,Banque Mondiale, France,2026-09-07,Post-doc,,EN COURS,https://exemple-formation.test/opportunite/6316,
Subvention Climat,  GIZ ,france,2026-08-31,Licence,-,envoyée,https://exemple-formation.test/opportunite/4898,
Résidence Fintech,CNRS,Tunisie,2027-01-18,Doctorat,"25000,00 MAD",archivée,https://exemple-formation.test/opportunite/4912,
  Programme Énergies renouvelables ,OCP GROUP,canada,09/12/2026,Tous niveaux,12 000 EUR,archivee,https://exemple-formation.test/opportunite/8598,
BOURSE SANTÉ PUBLIQUE,UNIVERSITÉ PARIS CITÉ,MAROC,28/08/2026,Doctorat,1 200 €,à faire,https://exemple-formation.test/opportunite/5106,
Bourse Data science,Banque Islamique de Développement,SENEGAL,22-10-2026,Master,$1500,a_faire,https://exemple-formation.test/opportunite/8321,
  Subvention Mobilité urbaine ,  Université Paris Cité ,COTE D IVOIRE,2027-01-11,Post-doc,"500,00 EUR",,https://exemple-formation.test/opportunite/3093,
Hackathon Santé publique,Banque Mondiale,  maroc,12/11/2026,Post-doc,3 000 MAD,en cours,https://exemple-formation.test/opportunite/1566,
BOURSE GÉNIE LOGICIEL,GIZ, Allemagne,29-01-2027,Licence,500 $,archivée,https://exemple-formation.test/opportunite/6025,
RÉSIDENCE INTELLIGENCE ARTIFICIELLE,UNESCO,FRANCE,2026-12-07,Tous niveaux,25000 EUR,en cours,https://exemple-formation.test/opportunite/6105,
  Hackathon Génie logiciel ,Erasmus Mundus, Cameroun ,01/10/2026,Doctorat,1 200 $,envoyée,https://exemple-formation.test/opportunite/8412,
Formation Biotechnologies,PNUD,Bénin,20/11/2026,Tous niveaux,USD8000,archivee,https://exemple-formation.test/opportunite/1790,
Subvention Mobilité urbaine,Banque Mondiale,Canada,29/09/2026,Licence,8000 MAD,envoyee,https://exemple-formation.test/opportunite/4256,
Fellowship Fintech,Institut Pasteur,Rwanda,2027-01-05,Licence,-,à faire,https://exemple-formation.test/opportunite/1001,
Bourse Éducation numérique,OCP Group,FRANCE,2027-01-06,Tous niveaux,500 MAD,ENVOYEE,https://exemple-formation.test/opportunite/5485,
Appel à candidatures Robotique,Banque Islamique de Développement,tunisie,2026-09-15,Licence,EUR25000,archivee,https://exemple-formation.test/opportunite/6286,
Programme Fintech,Université Paris Cité,tunisie,28/09/2026,Licence,,en_cours,https://exemple-formation.test/opportunite/3015,
Formation Entrepreneuriat social,cnrs,cameroun,,Master,25000 $,EN COURS,https://exemple-formation.test/opportunite/4274,
Appel à candidatures Santé publique,Banque Mondiale,senegal,2026-07-21,Licence,3000 EUR,à faire,https://exemple-formation.test/opportunite/9798,
Fellowship Cybersécurité,PNUD,maroc,2026-10-25,Doctorat,500 €,à faire,https://exemple-formation.test/opportunite/9036,
HACKATHON BIOTECHNOLOGIES,Institut Pasteur,  maroc,27-08-2026,Post-doc,-,archivee,https://exemple-formation.test/opportunite/9979,
Concours Entrepreneuriat social,Campus France, France,28-09-2026,Master,1 500 USD,envoyée,https://exemple-formation.test/opportunite/9717,
STAGE INTELLIGENCE ARTIFICIELLE,PNUD,RWANDA,2026-08-10,Tous niveaux,-,en cours,https://exemple-formation.test/opportunite/7179,
Hackathon Agritech,Commission Européenne,Sénégal,26-11-2026,Post-doc,€12000,EN COURS,https://exemple-formation.test/opportunite/7711,
Programme Santé publique,  Université Paris Cité ,rwanda,14-10-2026,Doctorat,500 USD,à faire,https://exemple-formation.test/opportunite/7738,
Fellowship Agritech,Fondation Mastercard,Maroc,10/09/2026,Licence,"12000,00 EUR",A_FAIRE,https://exemple-formation.test/opportunite/8059,
Formation Biotechnologies,Fondation Mastercard, Maroc ,28-10-2026,Doctorat,5 000 €,a faire,https://exemple-formation.test/opportunite/4401,
Formation Data science,pnud,RWANDA,01/10/2026,Doctorat,12000 €,a faire,https://exemple-formation.test/opportunite/1473,
Concours Éducation numérique,Orange Digital Center, TUNISIE ,07/10/2026,Tous niveaux,"5000,00 €",a faire,https://exemple-formation.test/opportunite/5945,
  Formation Santé publique ,UNESCO,Bénin,2027-01-12,Post-doc,12000 €,archivée,https://exemple-formation.test/opportunite/6312,
Subvention Fintech,GIZ,RWANDA,22-01-2027,Post-doc,$5000,en cours,https://exemple-formation.test/opportunite/5269,
Concours Climat,Fondation Mastercard,canada,08-11-2026,Licence,EUR12000,a faire,https://exemple-formation.test/opportunite/3157,
Formation Robotique,  Agence Française de Développement ,SENEGAL,23/11/2026,Master,1 200 USD,envoyée,https://exemple-formation.test/opportunite/2565,
Formation Génie logiciel,Mozilla Foundation,MAROC,11/08/2026,Master,1200 MAD,a_faire,https://exemple-formation.test/opportunite/7596,
Stage Fintech,  CNRS ,cote d'ivoire,26/09/2026,Licence,5 000 USD,a faire,https://exemple-formation.test/opportunite/4318,
hackathon agritech,OCP Group,Tunisie,2026-10-09,Licence,5 000 MAD,a faire,https://exemple-formation.test/opportunite/3933,
Concours Data science,  Banque Mondiale ,benin,05/02/2027,Doctorat,-,en cours,https://exemple-formation.test/opportunite/9490,
Concours Climat,African Development Bank,Bénin,2026-11-16,Tous niveaux,1 500 $,archivée,https://exemple-formation.test/opportunite/9697,
Résidence Data science,Fondation Mastercard,CANADA ,28-07-2026,Licence,8 000 MAD,en cours,https://exemple-formation.test/opportunite/2249,
Appel à candidatures Cybersécurité,Agence Française de Développement,france,23-12-2026,Doctorat,$1200,ENVOYEE,https://exemple-formation.test/opportunite/6057,
  Subvention Économie circulaire ,campus france,France,2026-11-23,Post-doc,EUR1500,A_FAIRE,https://exemple-formation.test/opportunite/4604,
STAGE AGRITECH,Mozilla Foundation,Tunisie,20/11/2026,Tous niveaux,MAD3000,archivee,https://exemple-formation.test/opportunite/9809,
Stage Mobilité urbaine,AFRICAN DEVELOPMENT BANK,allemagne,01/10/2026,Licence,N/A,en cours,https://exemple-formation.test/opportunite/7383,
subvention cybersécurité,Erasmus Mundus,CANADA ,2026-10-22,Doctorat,1 200 MAD,envoyee,https://exemple-formation.test/opportunite/5319,
Stage Climat,Université Paris Cité,cameroun,2027-01-02,Post-doc,-,à faire,https://exemple-formation.test/opportunite/5979,
SUBVENTION ENTREPRENEURIAT SOCIAL,mozilla foundation,BENIN,03-12-2026,Master,$1200,a faire,https://exemple-formation.test/opportunite/3840,
  Concours Santé publique ,Commission Européenne,allemagne,2026-08-06,Licence,€5000,envoyée,https://exemple-formation.test/opportunite/2356,
Subvention Cybersécurité,  Agence Française de Développement ,SENEGAL,2026-08-03,Licence,$1500,archivee,https://exemple-formation.test/opportunite/9907,
Concours Biotechnologies,  Agence Française de Développement , Maroc ,06/08/2026,Licence,$1500,en_cours,https://exemple-formation.test/opportunite/5350,
  Formation Génie logiciel ,Fondation Mastercard, TUNISIE ,02/09/2026,Post-doc,"1500,00 EUR",en_cours,https://exemple-formation.test/opportunite/3938,
Appel à candidatures Santé publique,Mozilla Foundation,tunisie,15-09-2026,Post-doc,1500 EUR,a faire,https://exemple-formation.test/opportunite/6710,
Stage Data science,AFRICAN DEVELOPMENT BANK,RWANDA,2026-09-25,Post-doc,8 000 €,A_FAIRE,https://exemple-formation.test/opportunite/9107,
Stage Économie circulaire,Campus France,senegal,22/11/2026,Licence,12000 USD,a faire,https://exemple-formation.test/opportunite/4221,
Concours Cybersécurité,GIZ,FRANCE,,Master,N/A,à faire,https://exemple-formation.test/opportunite/1814,
Stage Biotechnologies,UNESCO,BENIN,14-09-2026,Master,$500,envoyée,https://exemple-formation.test/opportunite/7438,
Stage Intelligence artificielle,Erasmus Mundus,maroc,à confirmer,Licence,"1200,00 MAD",envoyee,https://exemple-formation.test/opportunite/2601,
  Stage Génie logiciel ,Erasmus Mundus,Tunisie,03-01-2027,Tous niveaux,8 000 USD,archivée,https://exemple-formation.test/opportunite/5589,
Appel à candidatures Agritech,Institut Pasteur, Sénégal ,2026-10-16,Doctorat,"500,00 USD",archivée,https://exemple-formation.test/opportunite/2233,
PROGRAMME ÉNERGIES RENOUVELABLES,cnrs,rwanda,,Master,"5000,00 MAD",en cours,https://exemple-formation.test/opportunite/1156,
Stage Mobilité urbaine,AFRICAN DEVELOPMENT BANK,allemagne,01/10/2026,Licence,8000 €,EN COURS,https://exemple-formation.test/opportunite/7383,
Formation Santé publique,Banque Mondiale,benin,04-02-2027,Licence,500 $,a faire,https://exemple-formation.test/opportunite/5745,
Résidence Énergies renouvelables,African Development Bank,  maroc,2027-02-03,Licence,500 MAD,en cours,https://exemple-formation.test/opportunite/5010,
Fellowship Éducation numérique,  Commission Européenne , France,30/12/2026,Tous niveaux,1 200 €,archivée,https://exemple-formation.test/opportunite/3426,
Stage Santé publique,Orange Digital Center,cameroun,27-08-2026,Licence,$1500,ENVOYEE,https://exemple-formation.test/opportunite/3965,
Programme Éducation numérique,  PNUD ,maroc,15/09/2026,Master,USD1200,a_faire,https://exemple-formation.test/opportunite/6827,
FELLOWSHIP AGRITECH,UNESCO,Cameroun,14/12/2026,Tous niveaux,,en_cours,https://exemple-formation.test/opportunite/5904,
  Fellowship Data science ,BANQUE ISLAMIQUE DE DÉVELOPPEMENT,BENIN,24/09/2026,Tous niveaux,"500,00 USD",a faire,https://exemple-formation.test/opportunite/1300,
Concours Cybersécurité,Orange Digital Center,Canada,2026-07-13,Licence,5000 $,,https://exemple-formation.test/opportunite/1895,
Formation Climat,  Fondation Mastercard ,allemagne,16/01/2027,Doctorat,$5000,en cours,https://exemple-formation.test/opportunite/9652,
,mozilla foundation,FRANCE,31-08-2026,Post-doc,3000 MAD,à faire,https://exemple-formation.test/opportunite/6046,
